iata,icao,name,city,country,tz,lat,lon
SCH,KSCH,Schenectady County Airport,Schenectady,US,America/New_York,42.852500915527,-73.928901672363
SCK,KSCK,Stockton Metropolitan Airport,Stockton,US,America/Los_Angeles,37.893279,-121.238079
SDF,KSDF,Louisville Muhammad Ali International Airport,Louisville,US,America/Kentucky/Louisville,38.1706,-85.735076
SDM,KSDM,Brown Field Municipal Airport,San Diego,US,America/Los_Angeles,32.572639,-116.980019
SDY,KSDY,Sidney - Richland Regional Airport,Sidney,US,America/Denver,47.705141,-104.194422
SEA,KSEA,Seattle–Tacoma International Airport,Seattle,US,America/Los_Angeles,47.447943,-122.310276
SFB,KSFB,Orlando Sanford International Airport,Orlando,US,America/New_York,28.774277,-81.234626
SFF,KSFF,Felts Field,Spokane,US,America/Los_Angeles,47.682899,-117.321925
SFO,KSFO,San Francisco International Airport,San Francisco,US,America/Los_Angeles,37.619806,-122.374821
SGF,KSGF,Springfield Branson National Airport,Springfield,US,America/Chicago,37.245047,-93.388596
SGH,KSGH,Springfield-Beckley Municipal Airport,Springfield,US,America/New_York,39.840301513672,-83.840202331543
UST,KSGJ,Northeast Florida Regional Airport,St Augustine,US,America/New_York,29.9592,-81.339798
SGR,KSGR,Sugar Land Regional Airport,Houston,US,America/Chicago,29.622299194336,-95.65650177002
SGU,KSGU,St George Regional Airport,St George,US,America/Denver,37.036389,-113.510306
SHD,KSHD,Shenandoah Valley Regional Airport,Weyers Cave,US,America/New_York,38.263802,-78.8964
SHR,KSHR,Sheridan County Airport,Sheridan,US,America/Denver,44.76919937133789,-106.9800033569336
SHV,KSHV,Shreveport Regional Airport,Shreveport,US,America/Chicago,32.446602,-93.8256
SJC,KSJC,Norman Y. Mineta San Jose International Airport,San Jose,US,America/Los_Angeles,37.362452,-121.929188
SJT,KSJT,San Angelo Regional Mathis Field,San Angelo,US,America/Chicago,31.35770034790039,-100.49600219726562
SKA,KSKA,Fairchild Air Force Base,Spokane,US,America/Los_Angeles,47.615101,-117.655998
SKF,KSKF,Lackland Air Force Base,San Antonio,US,America/Chicago,29.38419914,-98.58110046
TSM,KSKX,Taos Regional Airport,Taos,US,America/Denver,36.452494,-105.67749
SLC,KSLC,Salt Lake City International Airport,Salt Lake City,US,America/Denver,40.78886,-111.979866
SLE,KSLE,Salem-Willamette Valley Airport/McNary Field,Salem,US,America/Los_Angeles,44.9095,-123.002998
SLK,KSLK,Adirondack Regional Airport,Saranac Lake,US,America/New_York,44.38691,-74.204629
SLN,KSLN,Salina Municipal Airport,Salina,US,America/Chicago,38.79100036621094,-97.6521987915039
SME,KSME,Lake Cumberland Regional Airport,Somerset,US,America/New_York,37.053398132299996,-84.6158981323
SMF,KSMF,Sacramento International Airport,Sacramento,US,America/Los_Angeles,38.6954,-121.591003
SMN,KSMN,Lemhi County Airport,Salmon,US,America/Denver,45.122233,-113.88196
